Authors,Author(s) ID,Title,Year,Source title,Cited by,DOI,Link,Affiliations,Authors with affiliations,Index Keywords,Document Type,Source
"Xu E., Niu R., Lao J., Zhang S., Li J., Zhu Y., Shi H., Zhu Q., Chen Y., Jiang Y., Wang W., Yin J., Chen Q., Huang X., Chen J., Liu D.","57780471000;57869408700;57468423200;58030413600;57221574274;57912531800;57428935100;57981237100;58029569000;58029739700;58029739800;57912962900;58029739900;55212101300;56030150100;55710921600;","Tissue-like cultured fish fillets through a synthetic food pipeline",2023,"npj Science of Food",,"10.1038/s41538-023-00194-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159932427&doi=10.1038%2fs41538-023-00194-2&partnerID=40&md5=a787b938c80c822365f6e524a5f4ba7c","College of Biosystems Engineering and Food Science, National-Local Joint Engineering Laboratory of Intelligent Food Technology and Equipment, Zhejiang Key Laboratory for Agro-Food Processing, Integrated Research Base of Southern Fruit and Vegetable Preservation Technology, Fuli Institute of Food Science, Zhejiang University, Hangzhou, 310058, China; Innovation Center of Yangtze River Delta, Zhejiang University, Jiaxing, 314102, China; State Key Laboratory of Fluid Power and Mechatronic Systems, Zhejiang University, Hangzhou, 310028, China; College of Life Sciences, Zhejiang University, Hangzhou, 310058, China; Key Laboratory of 3D Printing Process and Equipment of Zhejiang Province, School of Mechanical Engineering, Zhejiang University, Hangzhou, 310058, China; Key Laboratory for Cell and Gene Engineering of Zhejiang Province, Department of Ophthalmology, Sir Run Run Shaw Hospital, Zhejiang University School of Medicine, Key Laboratory for Corneal Diseases Research of Zhejiang Province, Hangzhou, 310058, China; MOE Key Laboratory of Biosystems Homeostasis & Protection and Innovation Center for Cell Signaling Network, Zhejiang University, Hangzhou, 310058, China; Cancer Center, Zhejiang University, Hangzhou, China","Xu, E., College of Biosystems Engineering and Food Science, National-Local Joint Engineering Laboratory of Intelligent Food Technology and Equipment, Zhejiang Key Laboratory for Agro-Food Processing, Integrated Research Base of Southern Fruit and Vegetable Preservation Technology, Fuli Institute of Food Science, Zhejiang University, Hangzhou, 310058, China, Innovation Center of Yangtze River Delta, Zhejiang University, Jiaxing, 314102, China, State Key Laboratory of Fluid Power and Mechatronic Systems, Zhejiang University, Hangzhou, 310028, China; Niu, R., College of Biosystems Engineering and Food Science, National-Local Joint Engineering Laboratory of Intelligent Food Technology and Equipment, Zhejiang Key Laboratory for Agro-Food Processing, Integrated Research Base of Southern Fruit and Vegetable Preservation Technology, Fuli Institute of Food Science, Zhejiang University, Hangzhou, 310058, China, Innovation Center of Yangtze River Delta, Zhejiang University, Jiaxing, 314102, China; Lao, J., College of Life Sciences, Zhejiang University, Hangzhou, 310058, China; Zhang, S., College of Biosystems Engineering and Food Science, National-Local Joint Engineering Laboratory of Intelligent Food Technology and Equipment, Zhejiang Key Laboratory for Agro-Food Processing, Integrated Research Base of Southern Fruit and Vegetable Preservation Technology, Fuli Institute of Food Science, Zhejiang University, Hangzhou, 310058, China, Innovation Center of Yangtze River Delta, Zhejiang University, Jiaxing, 314102, China; Li, J., College of Biosystems Engineering and Food Science, National-Local Joint Engineering Laboratory of Intelligent Food Technology and Equipment, Zhejiang Key Laboratory for Agro-Food Processing, Integrated Research Base of Southern Fruit and Vegetable Preservation Technology, Fuli Institute of Food Science, Zhejiang University, Hangzhou, 310058, China, Innovation Center of Yangtze River Delta, Zhejiang University, Jiaxing, 314102, China; Zhu, Y., College of Biosystems Engineering and Food Science, National-Local Joint Engineering Laboratory of Intelligent Food Technology and Equipment, Zhejiang Key Laboratory for Agro-Food Processing, Integrated Research Base of Southern Fruit and Vegetable Preservation Technology, Fuli Institute of Food Science, Zhejiang University, Hangzhou, 310058, China, Innovation Center of Yangtze River Delta, Zhejiang University, Jiaxing, 314102, China; Shi, H., State Key Laboratory of Fluid Power and Mechatronic Systems, Zhejiang University, Hangzhou, 310028, China, Key Laboratory of 3D Printing Process and Equipment of Zhejiang Province, School of Mechanical Engineering, Zhejiang University, Hangzhou, 310058, China; Zhu, Q., College of Biosystems Engineering and Food Science, National-Local Joint Engineering Laboratory of Intelligent Food Technology and Equipment, Zhejiang Key Laboratory for Agro-Food Processing, Integrated Research Base of Southern Fruit and Vegetable Preservation Technology, Fuli Institute of Food Science, Zhejiang University, Hangzhou, 310058, China, Innovation Center of Yangtze River Delta, Zhejiang University, Jiaxing, 314102, China; Chen, Y., College of Life Sciences, Zhejiang University, Hangzhou, 310058, China; Jiang, Y., College of Life Sciences, Zhejiang University, Hangzhou, 310058, China; Wang, W., College of Biosystems Engineering and Food Science, National-Local Joint Engineering Laboratory of Intelligent Food Technology and Equipment, Zhejiang Key Laboratory for Agro-Food Processing, Integrated Research Base of Southern Fruit and Vegetable Preservation Technology, Fuli Institute of Food Science, Zhejiang University, Hangzhou, 310058, China, Innovation Center of Yangtze River Delta, Zhejiang University, Jiaxing, 314102, China; Yin, J., Innovation Center of Yangtze River Delta, Zhejiang University, Jiaxing, 314102, China, State Key Laboratory of Fluid Power and Mechatronic Systems, Zhejiang University, Hangzhou, 310028, China, Key Laboratory of 3D Printing Process and Equipment of Zhejiang Province, School of Mechanical Engineering, Zhejiang University, Hangzhou, 310058, China; Chen, Q., College of Biosystems Engineering and Food Science, National-Local Joint Engineering Laboratory of Intelligent Food Technology and Equipment, Zhejiang Key Laboratory for Agro-Food Processing, Integrated Research Base of Southern Fruit and Vegetable Preservation Technology, Fuli Institute of Food Science, Zhejiang University, Hangzhou, 310058, China, Innovation Center of Yangtze River Delta, Zhejiang University, Jiaxing, 314102, China; Huang, X., College of Life Sciences, Zhejiang University, Hangzhou, 310058, China, Key Laboratory for Cell and Gene Engineering of Zhejiang Province, Department of Ophthalmology, Sir Run Run Shaw Hospital, Zhejiang University School of Medicine, Key Laboratory for Corneal Diseases Research of Zhejiang Province, Hangzhou, 310058, China; Chen, J., Innovation Center of Yangtze River Delta, Zhejiang University, Jiaxing, 314102, China, College of Life Sciences, Zhejiang University, Hangzhou, 310058, China, MOE Key Laboratory of Biosystems Homeostasis & Protection and Innovation Center for Cell Signaling Network, Zhejiang University, Hangzhou, 310058, China, Cancer Center, Zhejiang University, Hangzhou, China; Liu, D., College of Biosystems Engineering and Food Science, National-Local Joint Engineering Laboratory of Intelligent Food Technology and Equipment, Zhejiang Key Laboratory for Agro-Food Processing, Integrated Research Base of Southern Fruit and Vegetable Preservation Technology, Fuli Institute of Food Science, Zhejiang University, Hangzhou, 310058, China, Innovation Center of Yangtze River Delta, Zhejiang University, Jiaxing, 314102, China, State Key Laboratory of Fluid Power and Mechatronic Systems, Zhejiang University, Hangzhou, 310028, China",,Article,Scopus
"Mo L., Qi N., Zhao Z.","55606612300;55608032800;56403609400;","Spacecraft Pose Estimation Based on Different Camera Models",2023,"Chinese Journal of Mechanical Engineering (English Edition)",,"10.1186/s10033-023-00884-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159225201&doi=10.1186%2fs10033-023-00884-8&partnerID=40&md5=928f0c6edb81ab027c7d6b70e03f32e3","School of Astronautics, Harbin Institute of Technology, Harbin, 150001, China; Northeast Agricultural University, Harbin, 150001, China","Mo, L., School of Astronautics, Harbin Institute of Technology, Harbin, 150001, China; Qi, N., School of Astronautics, Harbin Institute of Technology, Harbin, 150001, China; Zhao, Z., Northeast Agricultural University, Harbin, 150001, China","Cameras; Optimal systems; Camera model; Measuring distances; Optimal solutions; Perspective projections; Pose-estimation; Projection models; Spacecraft orientation; Spacecraft pose estimation; Weak perspective; Weak perspective projection; Spacecraft",Article,Scopus
"Liu H.","57195721406;","Effectiveness of the spectral area index created by three algorithms for tree species recognition",2023,"Annals of Forest Science",,"10.1186/s13595-023-01184-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85152669669&doi=10.1186%2fs13595-023-01184-w&partnerID=40&md5=2859f596c545d58bcaebfcc29f4c44a3","School of Land and Tourism, Luoyang Normal University, Henan Province, Luoyang, 471934, China","Liu, H., School of Land and Tourism, Luoyang Normal University, Henan Province, Luoyang, 471934, China","algorithm; data mining; forest cover; polygon; remote sensing; satellite imagery; tree; vegetation classification; WorldView; China; Henan; Hohhot; Luoyang; Nei Monggol",Article,Scopus
"Yuan J., Li Z., Ma Q., Li J., Li Z., Zhao Y., Qin S., Shi X., Zhao L., Yang P., Luo G., Wang X., Teh K.S., Jiang Z.","57222613154;57917922000;58114199900;57195289452;57211142544;57033069000;58114242100;58114508100;57188835796;57210937286;57721552200;24725940600;58114283800;57576370900;","Noninvasive fluid bubble detection based on capacitive micromachined ultrasonic transducers",2023,"Microsystems and Nanoengineering",,"10.1038/s41378-023-00491-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148686623&doi=10.1038%2fs41378-023-00491-6&partnerID=40&md5=2174021c92c7a1ea64aa328ad86821e5","State Key Laboratory for Manufacturing Systems Engineering, International Joint Laboratory for Micro/Nano Manufacturing and Measurement Technologies, Xi’an Jiaotong University (Yantai) Research Institute for Intelligent Sensing Technology and Systems, Xi’an Jiaotong University, Xi’an, 710049, China; School of Mechanical Engineering, Xi’an Jiaotong University, Xi’an, 710049, China; Shandong Laboratory of Yantai Advanced Materials and Green Manufacturing, Yantai, 265503, China; School of Mechanical and Electrical Engineering, Shaanxi University of Science and Technology, Xi’an, Xi’an, 710049, China; School of Engineering, San Francisco State University, San Francisco, CA  94132, United States","Yuan, J., State Key Laboratory for Manufacturing Systems Engineering, International Joint Laboratory for Micro/Nano Manufacturing and Measurement Technologies, Xi’an Jiaotong University (Yantai) Research Institute for Intelligent Sensing Technology and Systems, Xi’an Jiaotong University, Xi’an, 710049, China, School of Mechanical Engineering, Xi’an Jiaotong University, Xi’an, 710049, China; Li, Z., State Key Laboratory for Manufacturing Systems Engineering, International Joint Laboratory for Micro/Nano Manufacturing and Measurement Technologies, Xi’an Jiaotong University (Yantai) Research Institute for Intelligent Sensing Technology and Systems, Xi’an Jiaotong University, Xi’an, 710049, China, School of Mechanical Engineering, Xi’an Jiaotong University, Xi’an, 710049, China, Shandong Laboratory of Yantai Advanced Materials and Green Manufacturing, Yantai, 265503, China; Ma, Q., State Key Laboratory for Manufacturing Systems Engineering, International Joint Laboratory for Micro/Nano Manufacturing and Measurement Technologies, Xi’an Jiaotong University (Yantai) Research Institute for Intelligent Sensing Technology and Systems, Xi’an Jiaotong University, Xi’an, 710049, China, School of Mechanical Engineering, Xi’an Jiaotong University, Xi’an, 710049, China; Li, J., State Key Laboratory for Manufacturing Systems Engineering, International Joint Laboratory for Micro/Nano Manufacturing and Measurement Technologies, Xi’an Jiaotong University (Yantai) Research Institute for Intelligent Sensing Technology and Systems, Xi’an Jiaotong University, Xi’an, 710049, China, School of Mechanical Engineering, Xi’an Jiaotong University, Xi’an, 710049, China, School of Mechanical and Electrical Engineering, Shaanxi University of Science and Technology, Xi’an, Xi’an, 710049, China; Li, Z., State Key Laboratory for Manufacturing Systems Engineering, International Joint Laboratory for Micro/Nano Manufacturing and Measurement Technologies, Xi’an Jiaotong University (Yantai) Research Institute for Intelligent Sensing Technology and Systems, Xi’an Jiaotong University, Xi’an, 710049, China, School of Mechanical Engineering, Xi’an Jiaotong University, Xi’an, 710049, China; Zhao, Y., State Key Laboratory for Manufacturing Systems Engineering, International Joint Laboratory for Micro/Nano Manufacturing and Measurement Technologies, Xi’an Jiaotong University (Yantai) Research Institute for Intelligent Sensing Technology and Systems, Xi’an Jiaotong University, Xi’an, 710049, China, School of Mechanical Engineering, Xi’an Jiaotong University, Xi’an, 710049, China; Qin, S., State Key Laboratory for Manufacturing Systems Engineering, International Joint Laboratory for Micro/Nano Manufacturing and Measurement Technologies, Xi’an Jiaotong University (Yantai) Research Institute for Intelligent Sensing Technology and Systems, Xi’an Jiaotong University, Xi’an, 710049, China, School of Mechanical Engineering, Xi’an Jiaotong University, Xi’an, 710049, China; Shi, X., State Key Laboratory for Manufacturing Systems Engineering, International Joint Laboratory for Micro/Nano Manufacturing and Measurement Technologies, Xi’an Jiaotong University (Yantai) Research Institute for Intelligent Sensing Technology and Systems, Xi’an Jiaotong University, Xi’an, 710049, China, School of Mechanical Engineering, Xi’an Jiaotong University, Xi’an, 710049, China; Zhao, L., State Key Laboratory for Manufacturing Systems Engineering, International Joint Laboratory for Micro/Nano Manufacturing and Measurement Technologies, Xi’an Jiaotong University (Yantai) Research Institute for Intelligent Sensing Technology and Systems, Xi’an Jiaotong University, Xi’an, 710049, China, School of Mechanical Engineering, Xi’an Jiaotong University, Xi’an, 710049, China, Shandong Laboratory of Yantai Advanced Materials and Green Manufacturing, Yantai, 265503, China; Yang, P., State Key Laboratory for Manufacturing Systems Engineering, International Joint Laboratory for Micro/Nano Manufacturing and Measurement Technologies, Xi’an Jiaotong University (Yantai) Research Institute for Intelligent Sensing Technology and Systems, Xi’an Jiaotong University, Xi’an, 710049, China, School of Mechanical Engineering, Xi’an Jiaotong University, Xi’an, 710049, China, Shandong Laboratory of Yantai Advanced Materials and Green Manufacturing, Yantai, 265503, China; Luo, G., State Key Laboratory for Manufacturing Systems Engineering, International Joint Laboratory for Micro/Nano Manufacturing and Measurement Technologies, Xi’an Jiaotong University (Yantai) Research Institute for Intelligent Sensing Technology and Systems, Xi’an Jiaotong University, Xi’an, 710049, China, School of Mechanical Engineering, Xi’an Jiaotong University, Xi’an, 710049, China, Shandong Laboratory of Yantai Advanced Materials and Green Manufacturing, Yantai, 265503, China; Wang, X., State Key Laboratory for Manufacturing Systems Engineering, International Joint Laboratory for Micro/Nano Manufacturing and Measurement Technologies, Xi’an Jiaotong University (Yantai) Research Institute for Intelligent Sensing Technology and Systems, Xi’an Jiaotong University, Xi’an, 710049, China, School of Mechanical Engineering, Xi’an Jiaotong University, Xi’an, 710049, China; Teh, K.S., School of Engineering, San Francisco State University, San Francisco, CA  94132, United States; Jiang, Z., State Key Laboratory for Manufacturing Systems Engineering, International Joint Laboratory for Micro/Nano Manufacturing and Measurement Technologies, Xi’an Jiaotong University (Yantai) Research Institute for Intelligent Sensing Technology and Systems, Xi’an Jiaotong University, Xi’an, 710049, China, School of Mechanical Engineering, Xi’an Jiaotong University, Xi’an, 710049, China, Shandong Laboratory of Yantai Advanced Materials and Green Manufacturing, Yantai, 265503, China","Failure (mechanical); Medicine; Natural frequencies; Ultrasonic applications; Ultrasonic transducers; 'current; Aerospace systems; Bubble detection; Bulk PZT; Capacitive micromachined ultrasonic transducer; Clinical medicine; Industrial controls; Mechanical failures; Ultrasonic technology; Voltage variation; Real time systems",Article,Scopus
"Wu H., Wu H., Wang Y., Li H., Tian F., Zhou K., Qi Z., Zhang Y., Zhang Q., Zhang X.","36103690700;56075068700;58089201600;57195371066;58089201700;57195373876;58089138800;58089201800;55699330600;57221927337;","Analysis of Himalayan marmot distribution and plague risk in Qinghai province of China using the “3S” technology",2023,"Scientific Reports",,"10.1038/s41598-023-28414-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147319214&doi=10.1038%2fs41598-023-28414-5&partnerID=40&md5=f99b887ce4c9328ba20760fbffd65a9d","Qinghai Institute for Endemic Disease Prevention and Control, Qinghai, Xining, 811602, China; Key Laboratory for Plague Control and Research of National Health Commission, Qinghai, Xining, 811602, China; Key Laboratory for Plague Prevention and Control of Qinghai Province, Qinghai, Xining, 811602, China; Qinghai Provincial Basic Geographic Information Center, Qinghai, Xining, 811602, China; Department of Clinical Laboratory, Affiliated Nantong Hospital 3 of Nantong University, Jiangsu, Nantong, 226006, China","Wu, H., Qinghai Institute for Endemic Disease Prevention and Control, Qinghai, Xining, 811602, China, Key Laboratory for Plague Control and Research of National Health Commission, Qinghai, Xining, 811602, China, Key Laboratory for Plague Prevention and Control of Qinghai Province, Qinghai, Xining, 811602, China; Wu, H., Qinghai Institute for Endemic Disease Prevention and Control, Qinghai, Xining, 811602, China, Key Laboratory for Plague Control and Research of National Health Commission, Qinghai, Xining, 811602, China, Key Laboratory for Plague Prevention and Control of Qinghai Province, Qinghai, Xining, 811602, China; Wang, Y., Qinghai Institute for Endemic Disease Prevention and Control, Qinghai, Xining, 811602, China; Li, H., Qinghai Provincial Basic Geographic Information Center, Qinghai, Xining, 811602, China; Tian, F., Qinghai Institute for Endemic Disease Prevention and Control, Qinghai, Xining, 811602, China, Key Laboratory for Plague Control and Research of National Health Commission, Qinghai, Xining, 811602, China, Key Laboratory for Plague Prevention and Control of Qinghai Province, Qinghai, Xining, 811602, China; Zhou, K., Qinghai Institute for Endemic Disease Prevention and Control, Qinghai, Xining, 811602, China, Key Laboratory for Plague Control and Research of National Health Commission, Qinghai, Xining, 811602, China; Qi, Z., Qinghai Institute for Endemic Disease Prevention and Control, Qinghai, Xining, 811602, China, Key Laboratory for Plague Control and Research of National Health Commission, Qinghai, Xining, 811602, China, Key Laboratory for Plague Prevention and Control of Qinghai Province, Qinghai, Xining, 811602, China; Zhang, Y., Qinghai Institute for Endemic Disease Prevention and Control, Qinghai, Xining, 811602, China, Department of Clinical Laboratory, Affiliated Nantong Hospital 3 of Nantong University, Jiangsu, Nantong, 226006, China; Zhang, Q., Qinghai Institute for Endemic Disease Prevention and Control, Qinghai, Xining, 811602, China, Key Laboratory for Plague Control and Research of National Health Commission, Qinghai, Xining, 811602, China, Key Laboratory for Plague Prevention and Control of Qinghai Province, Qinghai, Xining, 811602, China; Zhang, X., Qinghai Institute for Endemic Disease Prevention and Control, Qinghai, Xining, 811602, China, Key Laboratory for Plague Control and Research of National Health Commission, Qinghai, Xining, 811602, China, Key Laboratory for Plague Prevention and Control of Qinghai Province, Qinghai, Xining, 811602, China","animal; China; ecosystem; epidemiology; geographic information system; human; Marmota; Poaceae; Animals; China; Ecosystem; Geographic Information Systems; Humans; Marmota; Poaceae",Article,Scopus
"Li C., Karimbaev R., Wang S., Amanov A., Wang D., Abdel Wahab M.","58037333400;57204908222;57215263958;36447543900;55585687900;7102582536;","Fretting wear behavior of Inconel 718 alloy manufactured by DED and treated by UNSM",2023,"Scientific Reports",,"10.1038/s41598-023-28128-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146785635&doi=10.1038%2fs41598-023-28128-8&partnerID=40&md5=4e3cf805ebe8d8c83e300ae78607faee","Laboratory Soete, Ghent University, Ghent, Belgium; Department of Fusion Science and Technology, Sun Moon University, Asan-si, South Korea; Department of Mechanical Engineering, Sun Moon University, Asan-si, South Korea; School of Mechatronic Engineering, China University of Mining and Technology, Xuzhou, 221116, China","Li, C., Laboratory Soete, Ghent University, Ghent, Belgium; Karimbaev, R., Department of Fusion Science and Technology, Sun Moon University, Asan-si, South Korea; Wang, S., Laboratory Soete, Ghent University, Ghent, Belgium; Amanov, A., Department of Fusion Science and Technology, Sun Moon University, Asan-si, South Korea, Department of Mechanical Engineering, Sun Moon University, Asan-si, South Korea; Wang, D., School of Mechatronic Engineering, China University of Mining and Technology, Xuzhou, 221116, China; Abdel Wahab, M., Laboratory Soete, Ghent University, Ghent, Belgium",,Article,Scopus
"Tian X., Zhao Z., Wang H., Liu X., Song X.","57219659670;57189854244;57858866800;57799862900;57741720500;","Progresses on the additive manufacturing of functionally graded metallic materials",2023,"Journal of Alloys and Compounds",,"10.1016/j.jallcom.2023.170687","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160553474&doi=10.1016%2fj.jallcom.2023.170687&partnerID=40&md5=98ffcf1db1cc812ee535c5aedd5c101f","Faculty of Materials and Manufacturing, Key Laboratory of Advanced Functional Materials, Education Ministry of China, Beijing University of Technology, Beijing, 100124, China","Tian, X., Faculty of Materials and Manufacturing, Key Laboratory of Advanced Functional Materials, Education Ministry of China, Beijing University of Technology, Beijing, 100124, China; Zhao, Z., Faculty of Materials and Manufacturing, Key Laboratory of Advanced Functional Materials, Education Ministry of China, Beijing University of Technology, Beijing, 100124, China; Wang, H., Faculty of Materials and Manufacturing, Key Laboratory of Advanced Functional Materials, Education Ministry of China, Beijing University of Technology, Beijing, 100124, China; Liu, X., Faculty of Materials and Manufacturing, Key Laboratory of Advanced Functional Materials, Education Ministry of China, Beijing University of Technology, Beijing, 100124, China; Song, X., Faculty of Materials and Manufacturing, Key Laboratory of Advanced Functional Materials, Education Ministry of China, Beijing University of Technology, Beijing, 100124, China",,Review,Scopus
"Sun J., Ge H., Yang Y., Sun H., Chen J.","57214929083;57945245300;57442629000;57442503300;54408138200;","Design and synthesis of graphene-like porous grapefruit peel/Ni0.5Co0.5Fe2O4 composite with high-performance microwave absorption",2023,"Journal of Alloys and Compounds",,"10.1016/j.jallcom.2023.170561","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85159566640&doi=10.1016%2fj.jallcom.2023.170561&partnerID=40&md5=0db22be25d7b7e30e3b2025f661ff676","School of Materials Science and Engineering, University of Jinan, Jinan, 250022, China","Sun, J., School of Materials Science and Engineering, University of Jinan, Jinan, 250022, China; Ge, H., School of Materials Science and Engineering, University of Jinan, Jinan, 250022, China; Yang, Y., School of Materials Science and Engineering, University of Jinan, Jinan, 250022, China; Sun, H., School of Materials Science and Engineering, University of Jinan, Jinan, 250022, China; Chen, J., School of Materials Science and Engineering, University of Jinan, Jinan, 250022, China","Carbonization; Circular waveguides; Citrus fruits; Electromagnetic wave absorption; Graphene; Iron compounds; Nickel compounds; A composite material; Communicationtechnology; Composites material; Grapefruit peel; Graphene likes; Graphene-like porous material; Microwave absorption; Performance; Porous structures; Situ generation; Porous materials",Article,Scopus
"Bamisile O., Zheng Z., Adun H., Cai D., Ting N., Huang Q.","57192639999;58292603100;57192642401;57737754700;56430630500;57203888710;","Development and prospect of flywheel energy storage technology: A citespace-based visual analysis",2023,"Energy Reports",,"10.1016/j.egyr.2023.05.147","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160399415&doi=10.1016%2fj.egyr.2023.05.147&partnerID=40&md5=51a1f61e29aa1e4805ffa1d72e1c19e5","College of Nuclear Technology and Automation Engineering, Chengdu University of Technology, Sichuan, 610059, China; Energy System Engineering Department, Cyprus International University, Haspolat-Lefkosa, Mersin 10, KKTC, Turkey; College of Environment and Civil Engineering, Chengdu University of Technology, Sichuan, 610059, China","Bamisile, O., College of Nuclear Technology and Automation Engineering, Chengdu University of Technology, Sichuan, 610059, China; Zheng, Z., College of Nuclear Technology and Automation Engineering, Chengdu University of Technology, Sichuan, 610059, China; Adun, H., Energy System Engineering Department, Cyprus International University, Haspolat-Lefkosa, Mersin 10, KKTC, Turkey; Cai, D., College of Nuclear Technology and Automation Engineering, Chengdu University of Technology, Sichuan, 610059, China; Ting, N., College of Environment and Civil Engineering, Chengdu University of Technology, Sichuan, 610059, China; Huang, Q., College of Nuclear Technology and Automation Engineering, Chengdu University of Technology, Sichuan, 610059, China","Charging (batteries); Electric energy storage; Flywheels; Lithium batteries; Magnetic storage; Superconducting magnets; Wheels; Battery energy storage; Citespace; Energies (power); Energy storage system; Energy storage technologies; Flywheel energy storage; New energies; Power- generations; Storage systems; Visual analysis; Supercapacitor",Article,Scopus
"Lin Y., Filin S., Billen R., Mizoue N.","57193678641;6701579835;55885020100;6602965532;","Co-developing an international TLS network for the 3D ecological understanding of global trees: System architecture, remote sensing models, and functional prospects",2023,"Environmental Science and Ecotechnology",1,"10.1016/j.ese.2023.100257","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150382976&doi=10.1016%2fj.ese.2023.100257&partnerID=40&md5=5fe4c342d625aeabad952c752f239170","School of Earth and Space Sciences, Peking University, Beijing, 100871, China; Technion – Israel Institute of Technology, Haifa IL, 32000, Israel; Department of Geography, University of Liège, Liège, 4000, Belgium; Faculty of Agriculture, Kyushu University, Fukuoka, 819-0395, Japan","Lin, Y., School of Earth and Space Sciences, Peking University, Beijing, 100871, China; Filin, S., Technion – Israel Institute of Technology, Haifa IL, 32000, Israel; Billen, R., Department of Geography, University of Liège, Liège, 4000, Belgium; Mizoue, N., Faculty of Agriculture, Kyushu University, Fukuoka, 819-0395, Japan",,Review,Scopus
